table_name,column_name,ordinal_position,data_type,is_nullable,is_primary_key,is_foreign_key,references_table,references_column,is_indexed,is_unique,index_names,default_value,full_name,description
ticket_messages,ticket_id,2,INTEGER,no,no,yes,tickets,id,yes,no,"ix_ticket_messages_ticket_created, ix_ticket_messages_ticket_id",,ticket_messages.ticket_id,
ticket_messages,sender_id,3,INTEGER,no,no,yes,users,id,yes,no,ix_ticket_messages_sender_id,,ticket_messages.sender_id,
ticket_messages,sender_type,4,VARCHAR(30),no,no,no,,,no,no,,,ticket_messages.sender_type,
ticket_messages,content,5,TEXT,no,no,no,,,no,no,,,ticket_messages.content,
ticket_messages,is_internal,6,BOOLEAN,no,no,no,,,no,no,,,ticket_messages.is_internal,"True = agent-only note, hidden from the customer."
ticket_messages,created_at,7,DATETIME,no,no,no,,,yes,no,ix_ticket_messages_ticket_created,,ticket_messages.created_at,
ticket_messages,sources,8,JSON,yes,no,no,,,no,no,,,ticket_messages.sources,
tickets,id,1,INTEGER,no,yes,no,,,yes,no,ix_tickets_id,,tickets.id,
tickets,customer_id,2,INTEGER,no,no,yes,users,id,yes,no,"ix_tickets_customer_id, ix_tickets_customer_updated",,tickets.customer_id,
tickets,assigned_agent_id,3,INTEGER,yes,no,yes,users,id,yes,no,ix_tickets_assigned_agent_id,,tickets.assigned_agent_id,
tickets,subject,4,VARCHAR(255),no,no,no,,,no,no,,,tickets.subject,
tickets,description,5,TEXT,no,no,no,,,no,no,,,tickets.description,
tickets,category,6,VARCHAR(100),no,no,no,,,no,no,,,tickets.category,
tickets,priority,7,VARCHAR(6),no,no,no,,,no,no,,,tickets.priority,
tickets,status,8,VARCHAR(20),no,no,no,,,yes,no,ix_tickets_status_updated,,tickets.status,
tickets,created_at,9,DATETIME,no,no,no,,,no,no,,,tickets.created_at,
tickets,updated_at,10,DATETIME,no,no,no,,,yes,no,"ix_tickets_customer_updated, ix_tickets_status_updated",,tickets.updated_at,
tickets,conversation_id,11,INTEGER,yes,no,logical (not enforced),conversations,id,no,no,,,tickets.conversation_id,
users,id,1,INTEGER,no,yes,no,,,yes,no,ix_users_id,,users.id,
users,name,2,VARCHAR(100),no,no,no,,,no,no,,,users.name,
users,email,3,VARCHAR(255),no,no,no,,,yes,yes,ix_users_email,,users.email,
users,password_hash,4,VARCHAR(255),no,no,no,,,no,no,,,users.password_hash,Argon2 hash. Never returned by the API.
users,role,5,VARCHAR(8),no,no,no,,,no,no,,,users.role,customer | agent | admin
users,is_active,6,BOOLEAN,no,no,no,,,no,no,,,users.is_active,
users,created_at,7,DATETIME,no,no,no,,,no,no,,,users.created_at,
users,updated_at,8,DATETIME,no,no,no,,,no,no,,,users.updated_at,
users,phone,9,VARCHAR(50),yes,no,no,,,no,no,,,users.phone,
users,location,10,VARCHAR(150),yes,no,no,,,no,no,,,users.location,
users,organization,11,VARCHAR(150),yes,no,no,,,no,no,,,users.organization,
